,gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,weight,log2FoldChange_shrink,lfcSE_shrink,gene_name,genes_description
0,ENSG00000112096,7988.093523877549,2.203709137209457,0.0883454825737016,24.944219817589733,2.4671714973535677e-137,1.6735404012208608e-133,3.1860904201600144,2.087168025039778,0.0836738027397538,SOD2,superoxide dismutase 2
1,ENSG00000151632,3833.473699228274,1.5893235749351189,0.0780330595417422,20.3673107817199,3.2610051528386836e-92,1.578576482562885e-88,2.232291059116994,1.522886537101311,0.0747681702957301,AKR1C2,aldo-keto reductase family 1 member C2
2,ENSG00000143546,2166.460482621176,1.8005972535304904,0.0886484236759907,20.311666906922767,1.0140386727087076e-91,2.2928208665925576e-88,3.1860904201600144,1.7031462258679015,0.083824822812637,S100A8,S100 calcium binding protein A8
3,ENSG00000188505,1866.4240603362875,1.9286931658605155,0.0991262174194742,19.45694303757026,2.5452070950978304e-84,8.141911692753313e-81,1.689007993915396,1.8025798783669469,0.092566631221463,NCCRP1,"NCCRP1, F-box associated domain containing"
4,ENSG00000104368,3687.0665475264177,2.185787000084448,0.1160355700321316,18.837215170134268,3.741401544585376e-79,8.061987359355482e-76,2.0059364168500364,1.9899389094294784,0.105831223903681,PLAT,"plasminogen activator, tissue type"
5,ENSG00000138061,16176.9510435295,1.4267551097660591,0.0876586916294371,16.276253766111804,1.4550842230037416e-59,2.275092025793884e-56,2.3037368650749754,1.3523969162979304,0.0831113816053432,CYP1B1,cytochrome P450 family 1 subfamily B member 1
6,ENSG00000171711,1184.375513209306,1.6783171806882289,0.1063329433966992,15.78360503411332,4.0347066013019357e-56,3.9949762166425713e-53,3.118133316112699,1.5523368780295952,0.0983182740004937,DEFB4A,defensin beta 4A
7,ENSG00000008838,11112.695065443317,1.543040806396229,0.0997170539173097,15.474191683157766,5.182007166475811e-54,6.076732361436079e-51,2.3037368650749754,1.4391887917941597,0.0931215762601883,MED24,mediator complex subunit 24
8,ENSG00000135842,1371.3080893402034,1.5552094853368357,0.1007068030337181,15.44294365909052,8.416945463298625e-54,6.588363500552889e-51,3.06781672021764,1.4508920489102404,0.0938650544286004,NIBAN1,niban apoptosis regulator 1
9,ENSG00000124391,145.05491712623817,3.921965192806813,0.2578424766324838,15.21070245689965,3.003034111961196e-52,8.548001880370732e-49,0.6327168046209586,2.699993905505326,0.1688604135703839,IL17C,interleukin 17C
10,ENSG00000131016,851.8492539626335,1.7677882897276185,0.1162937101281056,15.20106536957396,3.479163828806914e-52,1.8604752584219657e-49,4.041531233903737,1.6111278463686964,0.1059298673953365,AKAP12,A-kinase anchoring protein 12
11,ENSG00000152229,1614.49448517719,1.423550853130351,0.0940497450881462,15.13614791614966,9.353425258146685e-52,6.225766620564239e-49,2.951753706506818,1.3394546373135374,0.0884431851014629,PSTPIP2,proline-serine-threonine phosphatase interacting protein 2
12,ENSG00000147454,2647.7936457686787,1.3779113425545468,0.0941205108484749,14.63986255634388,1.563840366286956e-48,1.5392611939146904e-45,1.689007993915396,1.2963177335856646,0.0885185211002146,SLC25A37,solute carrier family 25 member 37
13,ENSG00000050730,460.48574610183664,2.031330248830764,0.1395658302419131,14.554638806001476,5.457341786297343e-48,3.8208349593319386e-45,2.2049045737913104,1.7787415254770331,0.1220849768149511,TNIP3,TNFAIP3 interacting protein 3
14,ENSG00000160223,602.9356898467183,1.8040152664479907,0.1295205098878843,13.928413870587637,4.257046126572584e-44,1.920714176051568e-41,3.193370536669118,1.6099784158329518,0.1154812310214992,ICOSLG,inducible T cell costimulator ligand
15,ENSG00000145901,3257.656254220532,1.1008353074289638,0.0790961047212495,13.917693055916317,4.946124080671489e-44,3.3306026282020903e-41,2.0059364168500364,1.054214461183417,0.0757160186616533,TNIP1,TNFAIP3 interacting protein 1
17,ENSG00000184489,194.14905572293347,2.680839759220716,0.1937762548492263,13.834717578305074,1.5735324833356893e-43,2.985993082308284e-40,0.6327168046209586,2.112793800090122,0.1508163881089303,PTP4A3,protein tyrosine phosphatase 4A3
18,ENSG00000125148,24439.605736821413,1.23444586588444,0.0902781912869113,13.673799267436276,1.455907086129578e-42,5.1977683578887595e-40,3.1860904201600144,1.1644474932438005,0.0853282587913239,MT2A,metallothionein 2A
19,ENSG00000179593,189.3498158375598,2.635559209512526,0.1991967013429249,13.230938021284338,5.815699066033156e-40,1.030725817849123e-36,0.609710584709089,2.0554284565261765,0.1529829493827759,ALOX15B,arachidonate 15-lipoxygenase type B
20,ENSG00000273259,571.791771225281,1.5981665842244492,0.1269435200152137,12.589587747629135,2.4092834420529457e-36,6.1350431351890996e-34,4.041531233903737,1.4355736871236568,0.1136872133624233,RP11-986E7.7,
21,ENSG00000131669,1227.1867352749796,1.2671037298425782,0.1014180894511087,12.493863143156716,8.064079019363807e-36,2.5405770652750426e-33,3.118133316112699,1.1807230051872275,0.0944634813312993,NINJ1,ninjurin 1
